term,created_date,course_info,audience,section,question,Number of Responses,Course Mean,Dept. Mean,Univ. Mean,Course Median,Dept. Median,Univ. Median,count_5,count_4,count_3,count_2,count_1,comment_prompt,comments_json,demographics_json
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7374-01 Special Topics: Comp Sys Engr  (Daniel Peters),49,Comments,,,,,,,,,,,,,,What were the strengths of this course and/or this instructor?,"[""NA"", ""He is really good at explaining the course content and has the best design and object oriented programming knowledge""]",
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7374-01 Special Topics: Comp Sys Engr  (Daniel Peters),49,Comments,,,,,,,,,,,,,,What could the instructor do to make this course better?,"[""NA""]",
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7374-01 Special Topics: Comp Sys Engr  (Daniel Peters),49,Comments,,,,,,,,,,,,,,Please expand on the instructor’s strengths and/or areas for improvement in facilitating inclusive learning.,"[""NA"", ""He is really good at explaining the course content and has the best design and object oriented programming knowledge""]",
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7374-01 Special Topics: Comp Sys Engr  (Daniel Peters),49,Comments,,,,,,,,,,,,,,What I could have done to make this course better for myself.,"[""– Less lab work– Professor should've showed more code snippets for every topic"", ""NA"", ""I should have focuses more on implementing combinations of design patterns in my projects""]",
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7374-01 Special Topics: Comp Sys Engr  (Daniel Peters),49,Demographics,How often did you attend this class both in-person and remotely?,,,,,,,,,,,,,,,"{""80-100%"": 15, ""60-80%"": 0, ""40-60%"": 0, ""20-40%"": 0, ""1-20%"": 0}"
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7374-01 Special Topics: Comp Sys Engr  (Daniel Peters),49,Demographics,The number of hours per week I devoted to this course outside scheduled class meeting times.,,,,,,,,,,,,,,,"{""More than 10"": 3, ""8-10"": 5, ""5-7"": 4, ""3-4"": 2, ""0-2"": 1}"
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7374-02 Special Topics: Comp Sys Engr  (Yusuf Ozbek),29,Questions to Assess Students’ Online Experience,Online course materials were organized to help me navigate through the course week by week.,13,3.85,4.56,4.5,4.0,5.0,5.0,4,7,0,0,2,,,
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7374-02 Special Topics: Comp Sys Engr  (Yusuf Ozbek),29,Questions to Assess Students’ Online Experience,Online interactions with my instructor created a sense of connection in the virtual classroom.,13,3.77,4.47,4.36,4.0,5.0,5.0,4,6,1,0,2,,,
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7374-02 Special Topics: Comp Sys Engr  (Yusuf Ozbek),29,Questions to Assess Students’ Online Experience,Online course interactions created a sense of community and connection to my classmates.,13,3.92,4.37,4.26,4.0,5.0,5.0,4,6,2,0,1,,,
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7374-02 Special Topics: Comp Sys Engr  (Yusuf Ozbek),29,Questions to Assess Students’ Online Experience,I had the necessary computer skills and technology to successfully complete the course.,13,4.31,4.64,4.69,4.0,5.0,5.0,6,5,2,0,0,,,
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7374-02 Special Topics: Comp Sys Engr  (Yusuf Ozbek),29,Course Related Questions,The syllabus was accurate and helpful in delineating expectations and course outcomes.,13,3.92,4.6,4.56,4.0,5.0,5.0,5,4,2,2,0,,,
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7374-02 Special Topics: Comp Sys Engr  (Yusuf Ozbek),29,Course Related Questions,Required and additional course materials were helpful in achieving course outcomes.,13,3.77,4.5,4.45,4.0,5.0,5.0,3,5,4,1,0,,,
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7374-02 Special Topics: Comp Sys Engr  (Yusuf Ozbek),29,Learning Related Questions,In-class sessions were helpful for learning.,13,3.62,4.49,4.29,4.0,5.0,5.0,4,4,3,0,2,,,
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7374-02 Special Topics: Comp Sys Engr  (Yusuf Ozbek),29,Learning Related Questions,Out-of-class assignments and/or fieldwork were helpful for learning.,13,3.69,4.51,4.36,4.0,5.0,5.0,2,7,3,0,1,,,
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7374-02 Special Topics: Comp Sys Engr  (Yusuf Ozbek),29,Learning Related Questions,This course was intellectually challenging.,13,3.92,4.46,4.38,4.0,5.0,5.0,4,4,5,0,0,,,
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7374-02 Special Topics: Comp Sys Engr  (Yusuf Ozbek),29,Learning Related Questions,I learned a lot in this course.,13,4.31,4.59,4.48,4.0,5.0,5.0,6,5,2,0,0,,,
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7374-02 Special Topics: Comp Sys Engr  (Yusuf Ozbek),29,Instructor Related Questions: Yusuf Ozbek,The instructor came to class prepared to teach.,13,3.85,4.65,4.6,4.0,5.0,5.0,6,3,2,0,2,,,
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7374-02 Special Topics: Comp Sys Engr  (Yusuf Ozbek),29,Instructor Related Questions: Yusuf Ozbek,The instructor used class time effectively.,13,3.77,4.61,4.51,4.0,5.0,5.0,6,3,1,1,2,,,
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7374-02 Special Topics: Comp Sys Engr  (Yusuf Ozbek),29,Instructor Related Questions: Yusuf Ozbek,The instructor clearly communicated ideas and information.,13,3.77,4.62,4.53,4.0,5.0,5.0,6,3,1,1,2,,,
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7374-02 Special Topics: Comp Sys Engr  (Yusuf Ozbek),29,Instructor Related Questions: Yusuf Ozbek,The instructor provided sufficient feedback.,13,3.77,4.55,4.52,4.0,5.0,5.0,5,4,2,0,2,,,
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7374-02 Special Topics: Comp Sys Engr  (Yusuf Ozbek),29,Instructor Related Questions: Yusuf Ozbek,The instructor fairly evaluated my performance.,13,4.15,4.61,4.6,4.0,5.0,5.0,6,3,4,0,0,,,
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7374-02 Special Topics: Comp Sys Engr  (Yusuf Ozbek),29,Instructor Related Questions: Yusuf Ozbek,The instructor was available to assist students outside of class.,13,4.23,4.57,4.6,4.0,5.0,5.0,6,4,3,0,0,,,
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7374-02 Special Topics: Comp Sys Engr  (Yusuf Ozbek),29,Instructor Related Questions: Yusuf Ozbek,The instructor facilitated a respectful and inclusive learning environment.,13,4.46,4.67,4.66,5.0,5.0,5.0,7,5,1,0,0,,,
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7374-02 Special Topics: Comp Sys Engr  (Yusuf Ozbek),29,Instructor Related Questions: Yusuf Ozbek,The instructor displayed enthusiasm for the course.,13,4.08,4.64,4.63,4.0,5.0,5.0,6,3,3,1,0,,,
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7374-02 Special Topics: Comp Sys Engr  (Yusuf Ozbek),29,Instructor Effectiveness: Yusuf Ozbek,What is your overall rating of this instructor's teaching effectiveness?,13,3.92,4.59,4.6,4.0,5.0,5.0,6,4,1,0,0,,,
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7374-02 Special Topics: Comp Sys Engr  (Yusuf Ozbek),29,Comments,,,,,,,,,,,,,,Please comment on your experience of the online course environment in the open-ended text box.,"[""Slides often had repeated and incompleted information"", ""The best course, if you genuinely want to learn something new. Professor always considered everyone's background and taught the basics so clearly! It was a course that one should take if they want to actually learn something."", ""I am very much in sync with the professor! He’s a genius and he teaches the way in which I perfectly understand.""]",
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7374-02 Special Topics: Comp Sys Engr  (Yusuf Ozbek),29,Comments,,,,,,,,,,,,,,What were the strengths of this course and/or this instructor?,"[""Professor is great, the problem is if the class could have been 3 hours instead of 2 classes of 1.5 hours on 2 separate days and the lab could have been included in these 3 hours, it would help with knowledge retention."", ""The instructor was not prepared to teach this course."", ""The best instructor Northeastern has! So simple and easy to understand materials."", ""Professor’s knowledge in Java also stuck to me""]",
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7374-02 Special Topics: Comp Sys Engr  (Yusuf Ozbek),29,Comments,,,,,,,,,,,,,,What could the instructor do to make this course better?,"[""Professor is great, the problem is if the class could have been 3 hours instead of 2 classes of 1.5 hours on 2 separate days and the lab could have been included in these 3 hours, it would help with knowledge retention."", ""Have some more knowledge on the course.""]",
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7374-02 Special Topics: Comp Sys Engr  (Yusuf Ozbek),29,Comments,,,,,,,,,,,,,,Please expand on the instructor’s strengths and/or areas for improvement in facilitating inclusive learning.,"[""Lots of areas of weakness; I don't know where to start.""]",
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7374-02 Special Topics: Comp Sys Engr  (Yusuf Ozbek),29,Comments,,,,,,,,,,,,,,What I could have done to make this course better for myself.,"[""By not taking it. I feel this is the worst course I have done in Northeastern."", ""Maybe a research paper""]",
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7374-02 Special Topics: Comp Sys Engr  (Yusuf Ozbek),29,Demographics,How often did you attend this class both in-person and remotely?,,,,,,,,,,,,,,,"{""80-100%"": 12, ""60-80%"": 1, ""40-60%"": 0, ""20-40%"": 0, ""1-20%"": 0}"
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7374-02 Special Topics: Comp Sys Engr  (Yusuf Ozbek),29,Demographics,The number of hours per week I devoted to this course outside scheduled class meeting times.,,,,,,,,,,,,,,,"{""More than 10"": 2, ""8-10"": 3, ""5-7"": 7, ""3-4"": 0, ""0-2"": 1}"
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7374-03 Special Topics: Comp Sys Engr  (Yusuf Ozbek),14,Questions to Assess Students’ Online Experience,Online course materials were organized to help me navigate through the course week by week.,5,4.6,4.56,4.5,5.0,5.0,5.0,3,2,0,0,0,,,
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7374-03 Special Topics: Comp Sys Engr  (Yusuf Ozbek),14,Questions to Assess Students’ Online Experience,Online interactions with my instructor created a sense of connection in the virtual classroom.,5,4.6,4.47,4.36,5.0,5.0,5.0,3,2,0,0,0,,,
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7374-03 Special Topics: Comp Sys Engr  (Yusuf Ozbek),14,Questions to Assess Students’ Online Experience,Online course interactions created a sense of community and connection to my classmates.,5,4.8,4.37,4.26,5.0,5.0,5.0,4,1,0,0,0,,,
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7374-03 Special Topics: Comp Sys Engr  (Yusuf Ozbek),14,Questions to Assess Students’ Online Experience,I had the necessary computer skills and technology to successfully complete the course.,5,4.6,4.64,4.69,5.0,5.0,5.0,3,2,0,0,0,,,
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7374-03 Special Topics: Comp Sys Engr  (Yusuf Ozbek),14,Course Related Questions,The syllabus was accurate and helpful in delineating expectations and course outcomes.,5,4.6,4.6,4.56,5.0,5.0,5.0,3,2,0,0,0,,,
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7374-03 Special Topics: Comp Sys Engr  (Yusuf Ozbek),14,Course Related Questions,Required and additional course materials were helpful in achieving course outcomes.,5,4.6,4.5,4.45,5.0,5.0,5.0,3,2,0,0,0,,,
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7374-03 Special Topics: Comp Sys Engr  (Yusuf Ozbek),14,Learning Related Questions,In-class sessions were helpful for learning.,5,4.6,4.49,4.29,5.0,5.0,5.0,3,2,0,0,0,,,
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7374-03 Special Topics: Comp Sys Engr  (Yusuf Ozbek),14,Learning Related Questions,Out-of-class assignments and/or fieldwork were helpful for learning.,5,4.6,4.51,4.36,5.0,5.0,5.0,3,2,0,0,0,,,
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7374-03 Special Topics: Comp Sys Engr  (Yusuf Ozbek),14,Learning Related Questions,This course was intellectually challenging.,5,4.6,4.46,4.38,5.0,5.0,5.0,3,2,0,0,0,,,
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7374-03 Special Topics: Comp Sys Engr  (Yusuf Ozbek),14,Learning Related Questions,I learned a lot in this course.,5,4.6,4.59,4.48,5.0,5.0,5.0,3,2,0,0,0,,,
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7374-03 Special Topics: Comp Sys Engr  (Yusuf Ozbek),14,Instructor Related Questions: Yusuf Ozbek,The instructor came to class prepared to teach.,5,4.6,4.65,4.6,5.0,5.0,5.0,3,2,0,0,0,,,
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7374-03 Special Topics: Comp Sys Engr  (Yusuf Ozbek),14,Instructor Related Questions: Yusuf Ozbek,The instructor used class time effectively.,5,4.6,4.61,4.51,5.0,5.0,5.0,3,2,0,0,0,,,
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7374-03 Special Topics: Comp Sys Engr  (Yusuf Ozbek),14,Instructor Related Questions: Yusuf Ozbek,The instructor clearly communicated ideas and information.,5,4.6,4.62,4.53,5.0,5.0,5.0,3,2,0,0,0,,,
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7374-03 Special Topics: Comp Sys Engr  (Yusuf Ozbek),14,Instructor Related Questions: Yusuf Ozbek,The instructor provided sufficient feedback.,5,4.4,4.55,4.52,5.0,5.0,5.0,3,1,1,0,0,,,
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7374-03 Special Topics: Comp Sys Engr  (Yusuf Ozbek),14,Instructor Related Questions: Yusuf Ozbek,The instructor fairly evaluated my performance.,5,4.6,4.61,4.6,5.0,5.0,5.0,3,2,0,0,0,,,
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7374-03 Special Topics: Comp Sys Engr  (Yusuf Ozbek),14,Instructor Related Questions: Yusuf Ozbek,The instructor was available to assist students outside of class.,5,4.4,4.57,4.6,5.0,5.0,5.0,3,1,1,0,0,,,
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7374-03 Special Topics: Comp Sys Engr  (Yusuf Ozbek),14,Instructor Related Questions: Yusuf Ozbek,The instructor facilitated a respectful and inclusive learning environment.,5,4.4,4.67,4.66,5.0,5.0,5.0,3,1,1,0,0,,,
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7374-03 Special Topics: Comp Sys Engr  (Yusuf Ozbek),14,Instructor Related Questions: Yusuf Ozbek,The instructor displayed enthusiasm for the course.,5,4.6,4.64,4.63,5.0,5.0,5.0,3,2,0,0,0,,,
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7374-03 Special Topics: Comp Sys Engr  (Yusuf Ozbek),14,Instructor Effectiveness: Yusuf Ozbek,What is your overall rating of this instructor's teaching effectiveness?,5,4.4,4.59,4.6,4.0,5.0,5.0,2,3,0,0,0,,,
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7374-03 Special Topics: Comp Sys Engr  (Yusuf Ozbek),14,Comments,,,,,,,,,,,,,,Please comment on your experience of the online course environment in the open-ended text box.,"[""It was very good""]",
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7374-03 Special Topics: Comp Sys Engr  (Yusuf Ozbek),14,Comments,,,,,,,,,,,,,,What were the strengths of this course and/or this instructor?,"[""Very good content and explanations.""]",
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7374-03 Special Topics: Comp Sys Engr  (Yusuf Ozbek),14,Comments,,,,,,,,,,,,,,What could the instructor do to make this course better?,"[""It was good""]",
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7374-03 Special Topics: Comp Sys Engr  (Yusuf Ozbek),14,Comments,,,,,,,,,,,,,,What I could have done to make this course better for myself.,"[""It was good"", ""Prepare for the exams early""]",
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7374-03 Special Topics: Comp Sys Engr  (Yusuf Ozbek),14,Demographics,How often did you attend this class both in-person and remotely?,,,,,,,,,,,,,,,"{""80-100%"": 5, ""60-80%"": 0, ""40-60%"": 0, ""20-40%"": 0, ""1-20%"": 0}"
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7374-03 Special Topics: Comp Sys Engr  (Yusuf Ozbek),14,Demographics,The number of hours per week I devoted to this course outside scheduled class meeting times.,,,,,,,,,,,,,,,"{""More than 10"": 1, ""8-10"": 2, ""5-7"": 1, ""3-4"": 1, ""0-2"": 0}"
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7380-02 Theory & Prac App AI Gen Model  (Subrata Das),17,Questions to Assess Students’ Online Experience,Online course materials were organized to help me navigate through the course week by week.,5,3.8,4.56,4.5,4.0,5.0,5.0,1,3,0,1,0,,,
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7380-02 Theory & Prac App AI Gen Model  (Subrata Das),17,Questions to Assess Students’ Online Experience,Online interactions with my instructor created a sense of connection in the virtual classroom.,5,3.6,4.47,4.36,4.0,5.0,5.0,1,2,1,1,0,,,
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7380-02 Theory & Prac App AI Gen Model  (Subrata Das),17,Questions to Assess Students’ Online Experience,Online course interactions created a sense of community and connection to my classmates.,5,3.2,4.37,4.26,3.0,5.0,5.0,1,1,1,2,0,,,
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7380-02 Theory & Prac App AI Gen Model  (Subrata Das),17,Questions to Assess Students’ Online Experience,I had the necessary computer skills and technology to successfully complete the course.,5,3.6,4.64,4.69,4.0,5.0,5.0,1,2,1,1,0,,,
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7380-02 Theory & Prac App AI Gen Model  (Subrata Das),17,Course Related Questions,The syllabus was accurate and helpful in delineating expectations and course outcomes.,5,3.8,4.6,4.56,4.0,5.0,5.0,2,1,1,1,0,,,
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7380-02 Theory & Prac App AI Gen Model  (Subrata Das),17,Course Related Questions,Required and additional course materials were helpful in achieving course outcomes.,5,3.8,4.5,4.45,4.0,5.0,5.0,2,1,1,1,0,,,
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7380-02 Theory & Prac App AI Gen Model  (Subrata Das),17,Learning Related Questions,In-class sessions were helpful for learning.,5,3.6,4.49,4.29,4.0,5.0,5.0,1,2,1,1,0,,,
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7380-02 Theory & Prac App AI Gen Model  (Subrata Das),17,Learning Related Questions,Out-of-class assignments and/or fieldwork were helpful for learning.,5,4.0,4.51,4.36,4.0,5.0,5.0,2,2,0,1,0,,,
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7380-02 Theory & Prac App AI Gen Model  (Subrata Das),17,Learning Related Questions,This course was intellectually challenging.,5,4.0,4.46,4.38,4.0,5.0,5.0,1,3,1,0,0,,,
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7380-02 Theory & Prac App AI Gen Model  (Subrata Das),17,Learning Related Questions,I learned a lot in this course.,5,4.4,4.59,4.48,5.0,5.0,5.0,3,1,1,0,0,,,
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7380-02 Theory & Prac App AI Gen Model  (Subrata Das),17,Instructor Related Questions: Subrata Das,The instructor came to class prepared to teach.,5,3.6,4.65,4.6,4.0,5.0,5.0,1,2,1,1,0,,,
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7380-02 Theory & Prac App AI Gen Model  (Subrata Das),17,Instructor Related Questions: Subrata Das,The instructor used class time effectively.,5,3.6,4.61,4.51,4.0,5.0,5.0,1,2,1,1,0,,,
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7380-02 Theory & Prac App AI Gen Model  (Subrata Das),17,Instructor Related Questions: Subrata Das,The instructor clearly communicated ideas and information.,5,3.8,4.62,4.53,4.0,5.0,5.0,1,3,0,1,0,,,
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7380-02 Theory & Prac App AI Gen Model  (Subrata Das),17,Instructor Related Questions: Subrata Das,The instructor provided sufficient feedback.,5,3.8,4.55,4.52,4.0,5.0,5.0,1,3,0,1,0,,,
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7380-02 Theory & Prac App AI Gen Model  (Subrata Das),17,Instructor Related Questions: Subrata Das,The instructor fairly evaluated my performance.,5,3.8,4.61,4.6,4.0,5.0,5.0,1,3,0,1,0,,,
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7380-02 Theory & Prac App AI Gen Model  (Subrata Das),17,Instructor Related Questions: Subrata Das,The instructor was available to assist students outside of class.,5,3.8,4.57,4.6,4.0,5.0,5.0,1,3,0,1,0,,,
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7380-02 Theory & Prac App AI Gen Model  (Subrata Das),17,Instructor Related Questions: Subrata Das,The instructor facilitated a respectful and inclusive learning environment.,5,3.8,4.67,4.66,4.0,5.0,5.0,1,3,0,1,0,,,
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7380-02 Theory & Prac App AI Gen Model  (Subrata Das),17,Instructor Related Questions: Subrata Das,The instructor displayed enthusiasm for the course.,5,3.8,4.64,4.63,4.0,5.0,5.0,1,3,0,1,0,,,
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7380-02 Theory & Prac App AI Gen Model  (Subrata Das),17,Instructor Effectiveness: Subrata Das,What is your overall rating of this instructor's teaching effectiveness?,5,3.8,4.59,4.6,4.0,5.0,5.0,1,3,0,1,0,,,
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7380-02 Theory & Prac App AI Gen Model  (Subrata Das),17,Comments,,,,,,,,,,,,,,Please comment on your experience of the online course environment in the open-ended text box.,"[""/"", ""The course environment was good, there were open discussions and overall good learning experience""]",
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7380-02 Theory & Prac App AI Gen Model  (Subrata Das),17,Comments,,,,,,,,,,,,,,What were the strengths of this course and/or this instructor?,"[""/"", ""The assignments were really good and challenging. They helped a lot in learning new concepts.""]",
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7380-02 Theory & Prac App AI Gen Model  (Subrata Das),17,Comments,,,,,,,,,,,,,,What could the instructor do to make this course better?,"[""/"", ""I feel like there was a disconnect between what was taught in the class and what was given in the assignment.""]",
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7380-02 Theory & Prac App AI Gen Model  (Subrata Das),17,Comments,,,,,,,,,,,,,,Please expand on the instructor’s strengths and/or areas for improvement in facilitating inclusive learning.,"[""/""]",
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7380-02 Theory & Prac App AI Gen Model  (Subrata Das),17,Comments,,,,,,,,,,,,,,What I could have done to make this course better for myself.,"[""More interactions with proffers"", ""Put more hours maybe.""]",
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7380-02 Theory & Prac App AI Gen Model  (Subrata Das),17,Demographics,How often did you attend this class both in-person and remotely?,,,,,,,,,,,,,,,"{""80-100%"": 5, ""60-80%"": 0, ""40-60%"": 0, ""20-40%"": 0, ""1-20%"": 0}"
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7380-02 Theory & Prac App AI Gen Model  (Subrata Das),17,Demographics,The number of hours per week I devoted to this course outside scheduled class meeting times.,,,,,,,,,,,,,,,"{""More than 10"": 2, ""8-10"": 2, ""5-7"": 1, ""3-4"": 0, ""0-2"": 0}"
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7380-03 Theory & Prac App AI Gen Model  (Ramkumar Hariharan),14,Questions to Assess Students’ Online Experience,Online course materials were organized to help me navigate through the course week by week.,3,4.67,4.56,4.5,5.0,5.0,5.0,2,1,0,0,0,,,
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7380-03 Theory & Prac App AI Gen Model  (Ramkumar Hariharan),14,Questions to Assess Students’ Online Experience,Online interactions with my instructor created a sense of connection in the virtual classroom.,3,4.67,4.47,4.36,5.0,5.0,5.0,2,1,0,0,0,,,
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7380-03 Theory & Prac App AI Gen Model  (Ramkumar Hariharan),14,Questions to Assess Students’ Online Experience,Online course interactions created a sense of community and connection to my classmates.,3,4.67,4.37,4.26,5.0,5.0,5.0,2,1,0,0,0,,,
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7380-03 Theory & Prac App AI Gen Model  (Ramkumar Hariharan),14,Questions to Assess Students’ Online Experience,I had the necessary computer skills and technology to successfully complete the course.,3,4.67,4.64,4.69,5.0,5.0,5.0,2,1,0,0,0,,,
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7380-03 Theory & Prac App AI Gen Model  (Ramkumar Hariharan),14,Course Related Questions,The syllabus was accurate and helpful in delineating expectations and course outcomes.,3,4.67,4.6,4.56,5.0,5.0,5.0,2,1,0,0,0,,,
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7380-03 Theory & Prac App AI Gen Model  (Ramkumar Hariharan),14,Course Related Questions,Required and additional course materials were helpful in achieving course outcomes.,3,4.67,4.5,4.45,5.0,5.0,5.0,2,1,0,0,0,,,
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7380-03 Theory & Prac App AI Gen Model  (Ramkumar Hariharan),14,Learning Related Questions,In-class sessions were helpful for learning.,3,4.33,4.49,4.29,4.0,5.0,5.0,1,2,0,0,0,,,
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7380-03 Theory & Prac App AI Gen Model  (Ramkumar Hariharan),14,Learning Related Questions,Out-of-class assignments and/or fieldwork were helpful for learning.,3,3.67,4.51,4.36,4.0,5.0,5.0,1,1,0,1,0,,,
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7380-03 Theory & Prac App AI Gen Model  (Ramkumar Hariharan),14,Learning Related Questions,This course was intellectually challenging.,3,3.67,4.46,4.38,4.0,5.0,5.0,0,2,1,0,0,,,
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7380-03 Theory & Prac App AI Gen Model  (Ramkumar Hariharan),14,Learning Related Questions,I learned a lot in this course.,3,4.67,4.59,4.48,5.0,5.0,5.0,2,1,0,0,0,,,
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7380-03 Theory & Prac App AI Gen Model  (Ramkumar Hariharan),14,Instructor Related Questions: Ramkumar Hariharan,The instructor came to class prepared to teach.,3,4.67,4.65,4.6,5.0,5.0,5.0,2,1,0,0,0,,,
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7380-03 Theory & Prac App AI Gen Model  (Ramkumar Hariharan),14,Instructor Related Questions: Ramkumar Hariharan,The instructor used class time effectively.,3,4.67,4.61,4.51,5.0,5.0,5.0,2,1,0,0,0,,,
Full Summer 2025,"Monday, September 8, 2025",- TRACE report for CSYE7380-03 Theory & Prac App AI Gen Model  (Ramkumar Hariharan),14,Instructor Related Questions: Ramkumar Hariharan,The instructor clearly communicated ideas and information.,3,4.67,4.62,4.53,5.0,5.0,5.0,2,1,0,0,0,,,
